股票代码	雅虎代码	公司名称	交易所
--------------------------------------------------------------------------------
688660	688660.SS	电气风电	SH
301202	301202.SZ	朗威股份	SZ
301010	301010.SZ	晶雪节能	SZ
002630	002630.SZ	华西能源	SZ
002397	002397.SZ	梦洁股份	SZ
002629	002629.SZ	仁智股份	SZ
002361	002361.SZ	神剑股份	SZ
600333	600333.SS	长春燃气	SH
002442	002442.SZ	龙星化工	SZ
300483	300483.SZ	首华燃气	SZ
600693	600693.SS	东百集团	SH
603617	603617.SS	君禾股份	SH
002798	002798.SZ	帝欧家居	SZ
002529	002529.SZ	海源复材	SZ
002620	002620.SZ	瑞和股份	SZ
600778	600778.SS	友好集团	SH
000665	000665.SZ	湖北广电	SZ
600246	600246.SS	万通发展	SH
600186	600186.SS	莲花控股	SH
605580	605580.SS	恒盛能源	SH
002868	002868.SZ	绿康生化	SZ
002265	002265.SZ	建设工业	SZ
600530	600530.SS	交大昂立	SH
605080	605080.SS	浙江自然	SH
600191	600191.SS	华资实业	SH
600745	600745.SS	闻泰科技	SH
600903	600903.SS	贵州燃气	SH
600579	600579.SS	克劳斯	SH
000759	000759.SZ	中百集团	SZ
001277	001277.SZ	速达股份	SZ
603682	603682.SS	锦和商管	SH
002775	002775.SZ	文科股份	SZ
002066	002066.SZ	瑞泰科技	SZ
000995	000995.SZ	皇台酒业	SZ
000558	000558.SZ	莱茵体育	SZ
603777	603777.SS	来伊份	SH
002350	002350.SZ	北京科锐	SZ
000905	000905.SZ	厦门港务	SZ
000533	000533.SZ	顺钠股份	SZ
002184	002184.SZ	海得控制	SZ
603630	603630.SS	拉芳家化	SH
002218	002218.SZ	拓日新能	SZ
000952	000952.SZ	广济药业	SZ
000592	000592.SZ	平潭发展	SZ
600714	600714.SS	金瑞矿业	SH
002634	002634.SZ	棒杰股份	SZ
600397	600397.SS	安源煤业	SH
601011	601011.SS	宝泰隆	SH
000679	000679.SZ	大连友谊	SZ
002449	002449.SZ	国星光电	SZ
300829	300829.SZ	金丹科技	SZ
301071	301071.SZ	力量钻石	SZ
688135	688135.SS	利扬芯片	SH
600172	600172.SS	黄河旋风	SH
605598	605598.SS	上海港湾	SH
301313	301313.SZ	凡拓数创	SZ
300579	300579.SZ	数字认证	SZ
002345	002345.SZ	潮宏基	SZ
300332	300332.SZ	天壕能源	SZ
002733	002733.SZ	雄韬股份	SZ
600506	600506.SS	统一股份	SH
002693	002693.SZ	双成药业	SZ
600894	600894.SS	广日股份	SH
600696	600696.SS	岩石股份	SH
603877	603877.SS	太平鸟	SH
301399	301399.SZ	英特科技	SZ
300949	300949.SZ	奥雅股份	SZ
601777	601777.SS	力帆科技	SH
600619	600619.SS	海立股份	SH
002730	002730.SZ	电光科技	SZ
600973	600973.SS	宝胜股份	SH
000852	000852.SZ	石化机械	SZ
001205	001205.SZ	盛航股份	SZ
300828	300828.SZ	锐新科技	SZ
301631	301631.SZ	壹连科技	SZ
301519	301519.SZ	舜禹股份	SZ
600165	600165.SS	*ST宁科	SH
000429	000429.SZ	粤高速Ａ	SZ
002528	002528.SZ	ST英飞拓	SZ
603881	603881.SS	数据港	SH
001201	001201.SZ	东瑞股份	SZ
300641	300641.SZ	正丹股份	SZ
000609	000609.SZ	*ST中迪	SZ
002569	002569.SZ	ST步森	SZ
603007	603007.SS	*ST花王	SH
000669	000669.SZ	ST金鸿	SZ
603559	603559.SS	*ST通脉	SH
603959	603959.SS	ST百利	SH
000908	000908.SZ	*ST景峰	SZ
300956	300956.SZ	英力股份	SZ
600462	600462.SS	*ST九有	SH
000610	000610.SZ	西安旅游	SZ
600804	600804.SS	*ST鹏博	SH
603377	603377.SS	ST东时	SH
600398	600398.SS	海澜之家	SH
002110	002110.SZ	三钢闽光	SZ
603318	603318.SS	水发燃气	SH
002991	002991.SZ	甘源食品	SZ
603286	603286.SS	日盈电子	SH
600358	600358.SS	国旅联合	SH
300020	300020.SZ	*ST银江	SZ
300153	300153.SZ	科泰电源	SZ
300972	300972.SZ	万辰集团	SZ
002190	002190.SZ	成飞集成	SZ
600272	600272.SS	开开实业	SH
